station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.12.1895 00:00;134.7;117;
AIR;01.01.1896 00:00;24.8;23;
AIR;01.02.1896 00:00;17.2;21;
AIR;01.03.1896 00:00;116.1;117;
AIR;01.04.1896 00:00;43;28;
AIR;01.05.1896 00:00;37.8;21;
AIR;01.06.1896 00:00;195.4;112;
AIR;01.07.1896 00:00;187.3;141;
AIR;01.08.1896 00:00;235.9;135;
AIR;01.09.1896 00:00;251.3;132;
AIR;01.10.1896 00:00;831.3;383;
AIR;01.11.1896 00:00;121.8;56;
AIR;01.12.1896 00:00;182.9;159;
AIR;01.01.1897 00:00;127.8;119;
AIR;01.02.1897 00:00;107.5;131;
AIR;01.03.1897 00:00;136.7;138;
AIR;01.04.1897 00:00;82.7;55;
AIR;01.05.1897 00:00;35.4;19;
AIR;01.06.1897 00:00;42.6;24;
AIR;01.07.1897 00:00;138.5;104;
AIR;01.08.1897 00:00;349;200;
AIR;01.09.1897 00:00;429.4;226;
AIR;01.10.1897 00:00;49.3;23;
AIR;01.11.1897 00:00;51.6;24;
AIR;01.12.1897 00:00;141.7;123;
AIR;01.01.1898 00:00;29.4;27;
AIR;01.02.1898 00:00;191.6;234;
AIR;01.03.1898 00:00;305;307;
AIR;01.04.1898 00:00;170.7;113;
AIR;01.05.1898 00:00;323.3;176;
AIR;01.06.1898 00:00;294.9;168;
AIR;01.07.1898 00:00;22.2;17;
AIR;01.08.1898 00:00;137.8;79;
AIR;01.09.1898 00:00;18.5;10;
AIR;01.10.1898 00:00;251.2;116;
AIR;01.11.1898 00:00;409.7;187;
AIR;01.12.1898 00:00;6.7;6;
AIR;01.01.1899 00:00;278.8;261;
AIR;01.02.1899 00:00;0;0;
AIR;01.03.1899 00:00;49.7;50;
AIR;01.04.1899 00:00;167.6;111;
AIR;01.05.1899 00:00;136.7;74;
AIR;01.06.1899 00:00;171.4;98;
AIR;01.07.1899 00:00;51.8;39;
AIR;01.08.1899 00:00;90.4;52;
AIR;01.09.1899 00:00;160.1;84;
AIR;01.10.1899 00:00;42.4;20;
AIR;01.11.1899 00:00;77.9;36;
AIR;01.12.1899 00:00;81.8;71;
AIR;01.01.1900 00:00;172.5;161;
AIR;01.02.1900 00:00;192.3;235;
AIR;01.03.1900 00:00;118;119;
AIR;01.04.1900 00:00;40.9;27;
AIR;01.05.1900 00:00;179;97;
AIR;01.06.1900 00:00;67;38;
AIR;01.07.1900 00:00;215.5;162;
AIR;01.08.1900 00:00;438.8;251;
AIR;01.09.1900 00:00;152.9;81;
AIR;01.10.1900 00:00;85.8;40;
AIR;01.11.1900 00:00;321.6;147;
AIR;01.12.1900 00:00;64.2;56;
AIR;01.01.1901 00:00;27.2;25;
AIR;01.02.1901 00:00;48.4;59;
AIR;01.03.1901 00:00;289.2;292;
AIR;01.04.1901 00:00;280.3;185;
AIR;01.05.1901 00:00;86;47;
AIR;01.06.1901 00:00;204.9;117;
AIR;01.07.1901 00:00;226.5;170;
AIR;01.08.1901 00:00;102.2;58;
AIR;01.09.1901 00:00;155;82;
AIR;01.10.1901 00:00;308.4;142;
AIR;01.11.1901 00:00;36.9;17;
AIR;01.12.1901 00:00;251.8;219;
AIR;01.01.1902 00:00;80.1;75;
AIR;01.02.1902 00:00;130.5;159;
AIR;01.03.1902 00:00;305.7;308;
AIR;01.04.1902 00:00;75;50;
AIR;01.05.1902 00:00;129.9;71;
AIR;01.06.1902 00:00;115.6;66;
AIR;01.07.1902 00:00;120.5;91;
AIR;01.08.1902 00:00;320.5;183;
AIR;01.09.1902 00:00;123.5;65;
